org,N,N_pct,Donation_Amt,Donation_Freq,Regular_Donor_pct
26,608,29.8,69.14,151.9,90.3
1,277,13.6,93.56,214.3,57.1
9,186,9.1,87.9,86.1,61.2
20,135,6.6,101.32,235.5,94
16,124,6.1,90.17,207.1,97.1
2,121,5.9,38.12,97.2,47.4
5,111,5.4,186.75,344.5,82.8
17,99,4.9,83.64,267.2,91.4
3,81,4,75.26,148.9,61.2
4,71,3.5,45.71,53.2,43.5
15,33,1.6,35.24,40.6,81.8
14,29,1.4,73.46,156,61.1
7,26,1.3,32.39,91.1,70
13,23,1.1,28,32.5,25
19,17,0.8,25,41.7,16.7
22,17,0.8,98.5,97.4,30.8
12,15,0.7,21.25,48.3,41.7
6,13,0.6,37.5,187.9,77.8
10,12,0.6,15,26.7,30
18,12,0.6,39.75,94,57.1
21,8,0.4,8.33,130,28.6
11,7,0.3,25,NA,20
23,5,0.2,69.75,550,75
24,4,0.2,12.5,180,66.7
8,3,0.1,262.5,445,100
25,1,0,NA,NA,NA
